Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,RAM,ROM,Display_Size,Battery,Full_HD_or_HD,Camera
Tecno,11220,11349,1% off,4.2,20513.0,4.0,64.0,17.53,7000.0,Full HD,50.0
MOTOROLA,24999,34999,28% off,4.1,3232488.0,8.0,128.0,16.64,4020.0,Full HD,50.0
SAMSUNG,16987,17999,5% off,4.2,6740581.0,6.0,128.0,16.74,6000.0,,50.0
OPPO,29999,38999,23% off,4.3,307844052.0,8.0,128.0,16.33,4500.0,Full HD,50.0
OPPO,29999,38999,23% off,4.3,307844052.0,8.0,128.0,16.33,4500.0,Full HD,50.0
REDMI,10499,12999,19% off,4.2,4326287.0,6.0,128.0,16.59,5000.0,HD,13.0
APPLE,40999,43900,6% off,4.6,17395610293.0,,64.0,15.49,,HD,12.0
MOTOROLA,22999,30999,25% off,4.1,5903861.0,6.0,128.0,16.64,4020.0,Full HD,50.0
realme,7499,7999,6% off,4.4,29568914065.0,2.0,32.0,16.51,5000.0,HD,8.0
APPLE,45999,48900,5% off,4.6,17395610293.0,,128.0,15.49,,HD,12.0
Infinix,6699,7999,16% off,4.3,781605368.0,2.0,32.0,16.56,5000.0,HD,8.0
Infinix,6699,7999,16% off,4.3,781605368.0,2.0,32.0,16.56,5000.0,HD,8.0
Infinix,11499,14999,23% off,4.3,380764596.0,4.0,64.0,17.02,5000.0,Full HD,50.0
Tecno,14970,15280,2% off,4.2,14516.0,6.0,128.0,17.27,5000.0,Full HD,64.0
REDMI,12999,16999,23% off,4.4,820355584.0,6.0,64.0,16.33,5000.0,Full HD,64.0
Micromax,6999,11999,41% off,3.9,4155652.0,6.0,64.0,16.56,5000.0,HD,13.0
SAMSUNG,12449,13699,9% off,4.2,4083412.0,4.0,64.0,16.26,6000.0,,64.0
Micromax,1180,1199,1% off,3.9,9676881.0,,,4.5,1750.0,,3.0
Micromax,1199,1299,7% off,3.9,9676881.0,,,4.5,1750.0,,3.0
MOTOROLA,10999,16999,35% off,4.1,2443322.0,4.0,64.0,16.43,5000.0,Full HD,50.0
SAMSUNG,12999,16999,23% off,4.4,1019585654.0,4.0,128.0,16.76,6000.0,Full HD,50.0
MTR,1300,1390,6% off,4.1,6185450.0,,,4.5,800.0,,3.0
vivo,18499,22999,19% off,4.4,101771.0,8.0,128.0,16.71,5000.0,Full HD,50.0
Itel,2199,2389,7% off,3.9,179502626.0,,,6.1,1900.0,,3.0
REDMI,15840,16999,6% off,4.2,79880.0,8.0,128.0,16.33,5000.0,,108.0
REDMI,15990,16345,2% off,4.2,79880.0,8.0,128.0,16.33,5000.0,,108.0
SAMSUNG,2250,2340,3% off,4.3,233752400.0,,,5.16,1000.0,,3.0
realme,20999,23999,12% off,4.3,135891091.0,8.0,128.0,16.76,5000.0,Full HD,64.0
Itel,999,1099,9% off,4.1,125151041.0,,,4.57,1000.0,,
realme,15499,17999,13% off,4.4,6765500.0,6.0,128.0,16.76,5000.0,Full HD,50.0
realme,12999,15999,18% off,4.5,14521923.0,4.0,64.0,16.76,5000.0,Full HD,50.0
Infinix,6699,7999,16% off,4.3,781605368.0,2.0,32.0,16.56,5000.0,HD,8.0
APPLE,40999,43900,6% off,4.6,17395610293.0,,64.0,15.49,,HD,12.0
realme,12999,15999,18% off,4.5,14521923.0,4.0,64.0,16.76,5000.0,Full HD,50.0
OPPO,17999,22999,21% off,4.5,639.0,8.0,128.0,16.66,5000.0,HD,50.0
realme,11499,12999,11% off,4.4,33731522042.0,4.0,64.0,16.51,6000.0,HD,50.0
realme,11499,12999,11% off,4.4,33731522042.0,4.0,64.0,16.51,6000.0,HD,50.0
realme,38999,44999,13% off,4.3,1109150.0,12.0,256.0,16.81,5000.0,Full HD,50.0
realme,38999,44999,13% off,4.3,1109150.0,12.0,256.0,16.81,5000.0,Full HD,50.0
Micromax,927,980,5% off,3.7,21811.0,,,4.5,800.0,,
SAMSUNG,59999,101999,41% off,4.5,1788209.0,8.0,128.0,16.76,4500.0,Full HD,50.0
Nothing,27499,37999,27% off,4.3,364074965.0,8.0,128.0,16.64,4500.0,Full HD,50.0
BlackZone,1449,1470,1% off,4.0,7718501.0,,,3.66,1000.0,,3.0
Infinix,11499,15999,28% off,4.0,3594317.0,8.0,128.0,16.76,5000.0,HD,50.0
Infinix,9499,13999,32% off,4.2,4949296.0,6.0,64.0,16.76,5000.0,HD,50.0
Nothing,30499,39999,23% off,4.3,364074965.0,8.0,256.0,16.64,4500.0,Full HD,50.0
SAMSUNG,19999,25490,21% off,4.3,40528.0,8.0,128.0,16.76,5000.0,Full HD,50.0
vivo,14499,17990,19% off,4.3,37726.0,4.0,64.0,16.64,5000.0,HD,50.0
Nothing,33499,42999,22% off,4.3,5601644.0,12.0,256.0,16.64,4500.0,Full HD,50.0
REDMI,8999,9999,10% off,4.3,57542033976.0,4.0,64.0,16.59,5000.0,HD,13.0
Infinix,8999,11999,25% off,4.3,159211369.0,4.0,64.0,16.76,5200.0,Full HD,13.0
Micromax,944,992,4% off,3.9,714.0,,,4.5,800.0,,
Tecno,6697,6778,1% off,4.2,312.0,2.0,32.0,16.66,5000.0,HD,8.0
IQOO,30990,33999,8% off,4.1,14015.0,8.0,128.0,16.81,4500.0,,48.0
realme,8999,9999,10% off,4.3,20412311085.0,4.0,64.0,16.51,5000.0,HD,8.0
APPLE,78740,79900,1% off,4.6,77357.0,,128.0,15.49,,,12.0
vivo,12499,15999,21% off,4.3,52036.0,4.0,64.0,16.54,5000.0,HD,13.0
APPLE,69999,74900,6% off,4.6,18538112652.0,,256.0,15.49,,HD,12.0
SAMSUNG,8999,13499,33% off,4.0,31827.0,3.0,32.0,16.51,5000.0,HD,13.0
Redmi,6625,6858,3% off,4.1,238001827.0,2.0,32.0,16.59,5000.0,HD,13.0
Redmi,6639,6797,2% off,4.1,238001827.0,2.0,32.0,16.59,5000.0,HD,13.0
Kechaoda,1149,1199,4% off,4.1,284332208.0,,,3.66,850.0,,3.0
REDMI,19695,22285,11% off,4.1,59741.0,8.0,128.0,16.94,5000.0,,108.0
REDMI,18098,20998,13% off,4.2,91876.0,6.0,128.0,16.94,5000.0,,108.0
MTR,1300,1340,2% off,4.1,6185450.0,,,4.5,800.0,,3.0
Lava,1521,2200,30% off,4.1,44443.0,,,6.1,1800.0,,3.0
MOTOROLA,9499,11999,20% off,4.1,10914.0,4.0,64.0,16.51,5000.0,HD,50.0
SAMSUNG,16449,16789,2% off,4.2,6740581.0,6.0,128.0,16.76,6000.0,,50.0
SAMSUNG,19717,25990,24% off,4.2,65747.0,8.0,128.0,16.76,6000.0,,50.0
realme,12499,13999,10% off,4.4,33731522042.0,4.0,128.0,16.51,6000.0,HD,50.0
APPLE,78740,79900,1% off,4.6,77357.0,,128.0,15.49,,,12.0
REDMI,19999,22999,13% off,4.3,161111203.0,6.0,128.0,16.94,5020.0,Full HD,108.0
SAMSUNG,39999,74999,46% off,4.3,275602832.0,8.0,128.0,16.26,4500.0,Full HD,12.0
OPPO,45999,52999,13% off,4.8,61.0,12.0,256.0,17.02,4500.0,Full HD,50.0
realme,16999,19999,15% off,4.3,4605335.0,6.0,128.0,16.76,5000.0,Full HD,50.0
realme,17999,20999,14% off,4.4,761256177.0,6.0,128.0,16.51,5000.0,Full HD,64.0
Micromax,945,968,2% off,3.7,21811.0,,,4.5,800.0,,
Micromax,1250,1265,1% off,3.9,1630120.0,,,6.1,1450.0,,3.0
APPLE,88199,119900,26% off,4.5,118686.0,,256.0,15.49,,,12.0
Itel,5990,6990,14% off,4.1,23118.0,2.0,32.0,15.46,4000.0,HD,8.0
SAMSUNG,10499,12999,19% off,4.3,29679023488.0,4.0,64.0,16.55,6000.0,HD,48.0
MOTOROLA,9499,11999,20% off,4.1,10914.0,4.0,64.0,16.51,5000.0,HD,50.0
realme,16999,17999,5% off,4.3,839367326.0,6.0,128.0,16.51,5000.0,Full HD,48.0
realme,7499,7999,6% off,4.5,1208134809.0,2.0,32.0,16.51,5000.0,,8.0
SAMSUNG,33499,39990,16% off,4.1,1201139.0,8.0,128.0,16.51,5000.0,Full HD,64.0
MOTOROLA,59999,74999,20% off,4.3,14439.0,12.0,256.0,16.94,4610.0,Full HD,200.0
Kechaoda,1395,1449,3% off,4.0,1293135.0,,,5.59,2000.0,,3.0
SAMSUNG,59999,101999,41% off,4.5,1788209.0,8.0,128.0,16.76,4500.0,Full HD,50.0
SAMSUNG,41999,47490,11% off,4.2,1204162.0,8.0,128.0,17.02,5000.0,Full HD,108.0
SAMSUNG,31999,38990,17% off,4.0,53762.0,6.0,128.0,16.51,5000.0,Full HD,64.0
REDMI,7499,9999,25% off,4.2,48437.0,2.0,32.0,16.56,5000.0,HD,8.0
Nokia,9999,10898,8% off,3.7,8815.0,4.0,64.0,16.69,5050.0,HD,13.0
Redmi,6989,7420,5% off,4.3,213231276.0,2.0,32.0,16.59,5000.0,Full HD,13.0
Redmi,6749,7145,5% off,4.3,213231276.0,2.0,32.0,16.59,5000.0,Full HD,13.0
Kechaoda,1204,1399,13% off,3.9,152221186.0,,,4.57,400.0,,3.0
vivo,23999,28990,17% off,4.3,7020676.0,6.0,128.0,16.36,4700.0,Full HD,64.0
OnePlus,36990,38999,5% off,4.3,1284115.0,8.0,128.0,17.02,5000.0,,50.0
SAMSUNG,18499,23990,22% off,4.2,68146.0,6.0,128.0,16.76,5000.0,Full HD,50.0
realme,19999,22999,13% off,4.4,534034786.0,8.0,128.0,16.51,5000.0,Full HD,64.0
POCO,9999,11999,16% off,4.3,666094596.0,4.0,64.0,16.59,5000.0,Full HD,13.0
SAMSUNG,39999,74999,46% off,4.3,275602832.0,8.0,128.0,16.26,4500.0,Full HD,12.0
MOTOROLA,14999,21999,31% off,4.2,13035513236.0,6.0,128.0,17.22,6000.0,Full HD,108.0
Xiaomi,23579,24298,2% off,4.2,1480164.0,8.0,128.0,16.64,4250.0,Full HD,64.0
vivo,21990,25990,15% off,4.3,1176103.0,8.0,128.0,16.71,5000.0,Full HD,50.0
SAMSUNG,7450,7950,6% off,4.0,2374218.0,2.0,32.0,16.51,5000.0,HD,8.0
realme,7499,7999,6% off,4.5,1208134809.0,2.0,32.0,16.51,5000.0,,8.0
OPPO,10285,11389,9% off,4.3,5400296.0,4.0,64.0,16.56,4230.0,,13.0
OPPO,12990,15990,18% off,4.3,3623258.0,4.0,64.0,16.56,5000.0,HD,13.0
realme,16999,17999,5% off,4.3,839367326.0,6.0,128.0,16.51,5000.0,Full HD,48.0
REDMI,12999,16999,23% off,4.4,820355584.0,6.0,64.0,16.33,5000.0,Full HD,64.0
realme,28999,31999,9% off,4.4,264573017.0,8.0,256.0,16.26,4500.0,Full HD,50.0
realme,24999,27999,10% off,4.4,302293700.0,6.0,128.0,16.26,4500.0,Full HD,50.0
realme,24999,27999,10% off,4.4,302293700.0,6.0,128.0,16.26,4500.0,Full HD,50.0
realme,26999,29999,10% off,4.4,264573017.0,8.0,128.0,16.26,4500.0,Full HD,50.0
APPLE,98490,99900,1% off,4.5,27235.0,,256.0,17.02,,,12.0
realme,15499,16999,8% off,4.3,759936032.0,6.0,128.0,16.51,5000.0,Full HD,48.0
realme,15499,16999,8% off,4.3,759936032.0,6.0,128.0,16.51,5000.0,Full HD,48.0
realme,14499,15999,9% off,4.3,759936032.0,6.0,64.0,16.51,5000.0,Full HD,48.0
Micromax,1390,1499,7% off,4.1,131.0,,,6.1,1450.0,,3.0
LAVA,7799,8449,7% off,4.1,29556.0,2.0,32.0,17.78,6000.0,HD,13.0
vivo,25990,28990,10% off,4.2,1766164.0,8.0,128.0,16.36,4050.0,Full HD,50.0
MOTOROLA,14999,21999,31% off,4.2,13035513236.0,6.0,128.0,17.22,6000.0,Full HD,108.0
SAMSUNG,10499,12999,19% off,4.3,29679023488.0,4.0,64.0,16.55,6000.0,HD,48.0
SAMSUNG,10990,12900,14% off,4.2,164601207.0,4.0,64.0,16.51,6000.0,,48.0
Micromax,1190,1220,2% off,3.6,20514.0,,,6.1,1000.0,,3.0
realme,10999,12999,15% off,4.4,1376665919.0,4.0,64.0,16.51,5000.0,HD,50.0
realme,17999,20999,14% off,4.4,761256177.0,6.0,128.0,16.51,5000.0,Full HD,64.0
realme,11999,13999,14% off,4.5,460082202.0,4.0,128.0,16.51,5000.0,HD,50.0
SAMSUNG,16499,20990,21% off,4.1,24018.0,6.0,128.0,16.76,5000.0,Full HD,50.0
SAMSUNG,15499,19990,22% off,4.1,60945.0,4.0,128.0,16.76,5000.0,Full HD,50.0
Nokia,1758,1863,5% off,3.9,41622.0,,,4.5,800.0,,1.0
vivo,16499,19990,17% off,4.3,30222.0,6.0,128.0,16.64,5000.0,HD,50.0
vivo,15499,19990,22% off,4.4,1497107.0,4.0,128.0,16.71,5000.0,Full HD,50.0
Redmi,14880,15869,6% off,4.2,8681690.0,6.0,128.0,16.33,5000.0,,50.0
POCO,11999,17999,33% off,4.4,35011633256.0,6.0,64.0,16.94,5000.0,Full HD,48.0
Itel,1306,1369,4% off,4.0,102599.0,,,6.1,1200.0,,2.0
POCO,16999,21999,22% off,4.2,6848615.0,8.0,128.0,16.76,5000.0,Full HD,50.0
Itel,1249,1299,3% off,4.1,31833.0,,,4.57,1900.0,,3.0
APPLE,83999,99900,15% off,4.7,1712619345.0,,512.0,15.49,,,12.0
REDMI,14999,18999,21% off,4.2,301512337.0,6.0,128.0,16.66,5000.0,Full HD,48.0
realme,12499,13999,10% off,4.4,33731522042.0,4.0,128.0,16.51,6000.0,HD,50.0
APPLE,88740,89900,1% off,4.6,77357.0,,256.0,15.49,,,12.0
Snexian,999,1099,9% off,3.4,282.0,,,3.66,800.0,,3.0
Micromax,1330,1415,6% off,3.8,4753422.0,,,7.11,1000.0,,1.0
LAVA,1410,1590,11% off,4.1,123061168.0,,,6.1,1000.0,,3.0
SAMSUNG,25999,32990,21% off,4.1,1368141.0,6.0,128.0,16.26,5000.0,Full HD,48.0
Infinix,11999,16999,29% off,4.3,116911549.0,6.0,64.0,17.65,5000.0,Full HD,50.0
Redmi,23789,24990,4% off,4.2,2392223.0,8.0,256.0,16.94,5000.0,,108.0
APPLE,78740,79900,1% off,4.6,77357.0,,128.0,15.49,,,12.0
Xiaomi,22490,22920,1% off,4.2,3189361.0,6.0,128.0,16.64,4250.0,Full HD,64.0
Itel,1599,2099,23% off,4.1,71464.0,,,7.11,1500.0,,3.0
APPLE,52999,74900,29% off,4.5,1208539681.0,,256.0,13.72,,HD,12.0
Kechaoda,1119,1149,2% off,4.0,8171553.0,,,3.56,800.0,,3.0
Infinix,17999,24999,28% off,4.2,95011467.0,8.0,128.0,17.22,5000.0,Full HD,48.0
Infinix,17999,24999,28% off,4.2,95011467.0,8.0,128.0,17.22,5000.0,Full HD,48.0
APPLE,69999,79900,12% off,4.7,1712619345.0,,256.0,15.49,,,12.0
vivo,38990,41990,7% off,4.3,3719409.0,8.0,128.0,16.66,4300.0,Full HD,108.0
REDMI,17999,19999,10% off,4.3,412203868.0,6.0,128.0,16.94,5020.0,Full HD,64.0
OPPO,9990,10990,9% off,4.4,749264503.0,3.0,32.0,15.8,4230.0,HD,13.0
MOTOROLA,59999,74999,20% off,4.3,14439.0,12.0,256.0,16.94,4610.0,Full HD,200.0
OPPO,25999,37990,31% off,4.2,161912106.0,8.0,256.0,16.33,4500.0,Full HD,64.0
realme,28999,31999,9% off,4.4,264573017.0,8.0,256.0,16.26,4500.0,Full HD,50.0
realme,28999,31999,9% off,4.4,264573017.0,8.0,256.0,16.26,4500.0,Full HD,50.0
SAMSUNG,33499,39990,16% off,4.1,1201139.0,8.0,128.0,16.51,5000.0,Full HD,64.0
POCO,14499,18999,23% off,4.3,122484.0,6.0,128.0,16.71,5000.0,Full HD,50.0
realme,13499,14999,10% off,4.4,1058788944.0,4.0,64.0,16.51,5000.0,Full HD,48.0
REDMI,11499,13999,17% off,4.3,24142217048.0,4.0,64.0,16.59,6000.0,Full HD,48.0
OPPO,13999,16990,17% off,4.4,191299.0,4.0,64.0,16.66,5000.0,HD,13.0
Lvix,1249,1299,3% off,3.7,90.0,,,7.11,3000.0,,3.0
POCO,28999,32999,12% off,4.3,4675758.0,6.0,128.0,16.94,5065.0,Full HD,64.0
POCO,9999,11999,16% off,4.3,666094596.0,4.0,64.0,16.59,5000.0,Full HD,13.0
Micromax,1348,1413,4% off,3.8,4753422.0,,,7.11,1000.0,,1.0
REDMI,15796,17990,12% off,4.2,2001169.0,6.0,128.0,16.33,5000.0,,108.0
vivo,20999,25990,19% off,4.2,1356117.0,8.0,128.0,16.36,4050.0,Full HD,50.0
realme,10999,12999,15% off,4.5,460082202.0,4.0,64.0,16.51,5000.0,HD,50.0
OPPO,9490,13990,32% off,4.3,59025.0,3.0,32.0,16.56,4230.0,HD,13.0
REDMI,14490,14990,3% off,4.3,2082166.0,4.0,128.0,16.94,5020.0,,48.0
APPLE,88740,89900,1% off,4.6,77357.0,,256.0,15.49,,,12.0
realme,15999,16999,5% off,4.4,12121910633.0,4.0,128.0,16.26,5000.0,Full HD,64.0
realme,15999,16999,5% off,4.4,12121910633.0,4.0,128.0,16.26,5000.0,Full HD,64.0
Itel,1255,1299,3% off,4.1,31833.0,,,4.57,1900.0,,3.0
Xiaomi,24999,29999,16% off,4.2,370194586.0,6.0,128.0,16.94,5160.0,Full HD,108.0
MOTOROLA,7999,8995,11% off,3.7,27540.0,3.0,32.0,16.51,5000.0,HD,16.0
MTR,749,779,3% off,3.8,67155.0,,,4.57,800.0,,3.0
OPPO,9990,12990,23% off,4.3,2059115.0,3.0,32.0,16.56,4230.0,HD,13.0
Nokia,1707,1737,1% off,3.9,41622.0,,,4.5,800.0,,1.0
POCO,21999,25999,15% off,4.3,558405204.0,8.0,128.0,16.94,5160.0,Full HD,48.0
REDMI,17999,19999,10% off,4.3,412203868.0,6.0,128.0,16.94,5020.0,Full HD,64.0
REDMI,14889,16990,12% off,4.3,83065.0,6.0,128.0,16.94,5020.0,,48.0
realme,8999,9999,10% off,4.3,616553473.0,4.0,64.0,16.51,5000.0,,8.0
APPLE,55999,59900,6% off,4.6,18538112652.0,,64.0,15.49,,HD,12.0
REDMI,16499,20999,21% off,4.2,7106662.0,8.0,128.0,16.33,5000.0,Full HD,64.0
APPLE,52999,74900,29% off,4.5,1208539681.0,,256.0,13.72,,HD,12.0
SAMSUNG,16499,20990,21% off,4.1,24018.0,6.0,128.0,16.76,5000.0,Full HD,50.0
PHILIPS,1349,1399,3% off,3.6,23825.0,,,4.5,2000.0,,3.0
Infinix,17999,24999,28% off,4.2,95011467.0,8.0,128.0,17.22,5000.0,Full HD,48.0
SAMSUNG,18999,25999,26% off,4.1,5494548.0,8.0,128.0,16.76,5000.0,Full HD,64.0
APPLE,45999,48900,5% off,4.6,17395610293.0,,128.0,15.49,,HD,12.0
realme,9499,9999,5% off,4.6,893463073.0,3.0,32.0,16.51,5000.0,HD,13.0
REDMI,14990,15645,4% off,4.3,52036.0,4.0,128.0,16.94,5020.0,,48.0
realme,10499,10999,4% off,4.5,2532459546.0,4.0,64.0,16.51,5000.0,HD,13.0
realme,26999,29999,10% off,4.4,264573017.0,8.0,128.0,16.26,4500.0,Full HD,50.0
REDMI,11499,13999,17% off,4.3,24142217048.0,4.0,64.0,16.59,6000.0,Full HD,48.0
MOTOROLA,20999,25999,19% off,4.1,116481456.0,8.0,128.0,17.0,5000.0,Full HD,108.0
REDMI,10490,10990,4% off,4.1,625.0,6.0,128.0,16.59,5000.0,,13.0
realme,15999,17999,11% off,4.4,698044889.0,6.0,128.0,16.76,5000.0,Full HD,50.0
OPPO,21999,27999,21% off,4.3,1704144.0,8.0,128.0,16.33,4500.0,,64.0
GFive,999,1099,9% off,3.4,714.0,,,4.57,800.0,,3.0
REDMI,8499,10999,22% off,4.0,23120.0,3.0,32.0,16.56,5000.0,HD,8.0
POCO,14499,18999,23% off,4.3,122484.0,6.0,128.0,16.71,5000.0,Full HD,50.0
POCO,16499,17999,8% off,4.2,521114421.0,6.0,128.0,16.51,5000.0,Full HD,48.0
APPLE,88490,89900,1% off,4.5,27235.0,,128.0,17.02,,,12.0
realme,26999,29999,10% off,4.4,264573017.0,8.0,128.0,16.26,4500.0,Full HD,50.0
OPPO,17999,22999,21% off,4.5,639.0,8.0,128.0,16.66,5000.0,HD,50.0
LAVA,1875,1916,2% off,4.2,7727692.0,,,7.11,1750.0,,3.0
SAMSUNG,11499,13999,17% off,4.3,29679023488.0,4.0,128.0,16.55,6000.0,HD,48.0
Redmi,7430,8525,12% off,4.3,14426909.0,3.0,32.0,16.59,5000.0,HD,13.0
Itel,1025,1040,1% off,4.0,2733195.0,,,4.57,1000.0,,
IQOO,39990,43990,9% off,4.0,313.0,12.0,256.0,16.66,4350.0,,48.0
REDMI,11999,14999,20% off,4.3,1233399424.0,4.0,64.0,16.59,5020.0,Full HD,48.0
SAMSUNG,31999,38990,17% off,4.0,53762.0,6.0,128.0,16.51,5000.0,Full HD,64.0
Itel,5990,6690,10% off,4.1,23118.0,2.0,32.0,15.46,4000.0,HD,8.0
