Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Core,Processor,RAM,ROM,SSD,Display
MSI,84990,106990,20% off,4.8,8,i7 Processor,Intel,,,512 GB,35.56 cm
acer,68990,89999,23% off,4.3,210,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,41090,44427,7% off,4.1,7,i3 Processor,Intel,,,256 GB,35.56 cm
HP,58899,69083,14% off,4.1,34,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,29990,46790,35% off,4.4,120,i3 Processor,Intel,,,256 GB,39.62 cm
Infinix,42990,54990,21% off,4.3,29,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,29990,44630,32% off,3.6,5,,AMD,,,256GB,39.62 cm
DELL,38990,56834,31% off,4.3,26,,AMD,,,512GB,35.56 cm
ASUS,44990,57990,22% off,4.3,5692,i5 Processor,Intel,,,512 GB,39.62 cm
acer,35990,49999,28% off,4.3,31,i3 Processor,Intel,,,512 GB,39.62 cm
HP,29390,39288,25% off,4.2,608,,AMD,,,512 GB,39.62 cm
HP,46990,58174,19% off,4.1,144,i3 Processor,Intel,,,256 GB,35.56 cm
ASUS,54990,74990,26% off,4.5,5061,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,43990,62990,30% off,4.4,412,i3 Processor,Intel,,1 TB,256 GB,39.62 cm
ASUS,76990,90990,15% off,4.5,191,,AMD,,,512 GB,39.62 cm
Lenovo,37490,61490,39% off,4.3,210,i3 Processor,Intel,,,512 GB,39.62 cm
ASUS,48990,69990,30% off,4.0,127,i3 Processor,Intel,,,512 GB,35.56 cm
Lenovo,62490,93690,33% off,4.3,309,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,57490,76890,25% off,4.4,385,,AMD,,,512 GB,39.62 cm
ASUS,54990,80990,32% off,4.4,685,,AMD,,,512 GB,39.62 cm
ASUS,32990,50990,35% off,4.3,8727,i3 Processor,Intel,,,512 GB,39.62 cm
Lenovo,73490,102090,28% off,4.5,311,,AMD,,,512 GB,39.62 cm
DELL,33099,50651,34% off,3.8,413,,AMD,,1TB,,88.9 cm
MSI,109990,188990,41% off,4.6,31,,AMD,,,1 TB,39.62 cm
Lenovo,71490,103490,30% off,4.6,16,,AMD,,,512 GB,39.62 cm
ASUS,59990,84990,29% off,4.5,134,i5 Processor,Intel,,,1 TB,39.62 cm
SAMSUNG,59990,79990,25% off,4.6,68,i5 Processor,Intel,,,256 GB,39.62 cm
MSI,79990,111990,28% off,4.5,16,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,94990,149990,36% off,4.1,10,,AMD,,,1 TB,35.56 cm
acer,54990,79999,31% off,4.5,244,,AMD,,,512 GB,39.62 cm
ASUS,37990,45990,17% off,4.0,1899,i3 Processor,Intel,,1 TB,,39.62 cm
APPLE,104990,112900,7% off,4.7,617,,Apple,,,256 GB,33.78 cm
DELL,41590,49613,16% off,4.3,780,,AMD,,,256 GB,39.62 cm
DELL,43999,58229,24% off,3.3,12,i3 Processor,Intel,,,512 GB,39.62 cm
HP,99990,117664,15% off,4.9,11,,AMD,,,512 GB,40.89 cm
Mi,39990,46359,13% off,4.4,2239,i5 Processor,Intel,,,256 GB,35.56 cm
Lenovo,33990,56590,39% off,4.3,3970,i3 Processor,Intel,,,256 GB,39.62 cm
APPLE,112990,119900,5% off,4.7,43,,Apple,,,256 GB,34.54 cm
ASUS,35990,50990,29% off,4.3,558,i3 Processor,Intel,,,256 GB,35.56 cm
ASUS,45990,66990,31% off,4.5,96,i3 Processor,Intel,,,256 GB,35.56 cm
Lenovo,62990,97890,35% off,4.2,33,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,39990,58990,32% off,4.2,295,i3 Processor,Intel,,,512 GB,35.56 cm
ASUS,86990,116990,25% off,3.8,31,i7 Processor,Intel,,,512 GB,35.56 cm
HP,79990,93565,14% off,4.5,1460,,AMD,,1 TB,256 GB,39.62 cm
ASUS,39990,58990,32% off,4.2,295,i3 Processor,Intel,,,512 GB,35.56 cm
HP,102990,124283,17% off,4.5,28,,AMD,,,512 GB,40.89 cm
HP,93999,100100,6% off,3.8,16,i7 Processor,Intel,,,1 TB,39.62 cm
Vaio,40990,66990,38% off,4.0,706,,AMD,,,512 GB,39.62 cm
ASUS,146990,176990,16% off,5.0,4,,AMD,,,1 TB,39.62 cm
HP,41490,51470,19% off,4.1,93,i3 Processor,Intel,,1 TB,256 GB,39.62 cm
ASUS,43490,57990,25% off,4.3,13,i5 Processor,Intel,,,512 GB,35.56 cm
ASUS,71990,98990,27% off,4.7,12,i5 Processor,Intel,,,512 GB,33.78 cm
DELL,40190,54435,26% off,4.2,62,,AMD,,,512 GB,39.62 cm
ASUS,22990,30990,25% off,3.7,3154,,Intel,,1 TB,,39.62 cm
acer,25990,43999,40% off,3.9,239,,AMD,,,256 GB,35.56 cm
Lenovo,50499,75390,33% off,4.3,439,i5 Processor,Intel,,,256 GB,39.62 cm
