Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Core,Processor,RAM,ROM,SSD,Display
acer,23400,34990,33% off,4.3,480,,Intel,,,256 GB,39.62 cm
HP,26990,40486,33% off,3.7,174,,AMD,,,512 GB,35.56 cm
HP,62980,72210,12% off,4.1,88,i5 Processor,Intel,,,512 GB,39.62 cm
HP,54450,70171,22% off,4.3,909,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,42990,48900,12% off,4.1,238,i3 Processor,Intel,,1 TB,,39.62 cm
HP,70960,87717,19% off,4.4,466,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
MSI,184790,189990,2% off,4.8,5,i7 Processor,Intel,,,512 GB,39.62 cm
Lenovo,28490,40490,29% off,3.6,150,,Intel,,,,29.46 cm
DELL,56782,71578,20% off,4.0,21,i5 Processor,Intel,,,256 GB,39.62 cm
ASUS,94990,137990,31% off,5.0,7,,AMD,,,1 TB,39.62 cm
HP,74590,83553,10% off,4.3,28,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,52990,66560,20% off,4.3,3,,AMD,,1 TB,256 GB,39.62 cm
Lenovo,157990,224490,29% off,4.6,49,i7 Processor,Intel,,,1 TB,40.64 cm
ASUS,99990,122990,18% off,4.3,30,i7 Processor,Intel,,,512 GB,33.78 cm
ASUS,35990,51990,30% off,4.3,176,i3 Processor,Intel,,,256 GB,35.56 cm
ASUS,79990,98990,19% off,4.4,11,i5 Processor,Intel,,,512 GB,33.78 cm
DELL,98990,123850,20% off,5.0,5,,AMD,,,512 GB,39.62 cm
DELL,43090,56776,24% off,4.0,52,i3 Processor,Intel,,,256 GB,39.62 cm
HP,59990,66964,10% off,4.4,47,i3 Processor,Intel,,,512 GB,35.56 cm
HP,79990,99203,19% off,4.2,59,i5 Processor,Intel,,,512 GB,33.78 cm
DELL,36690,52433,30% off,4.0,9,,AMD,,,256 GB,39.62 cm
DELL,42390,55448,23% off,4.3,1937,i3 Processor,Intel,,,256 GB,35.56 cm
ASUS,25990,29990,13% off,4.1,203,,Intel,,,,35.56 cm
HP,68890,74839,7% off,4.2,121,,AMD,,,512 GB,35.56 cm
DELL,69999,81585,14% off,3.6,10,i3 Processor,Intel,,,512GB,35.56 cm
DELL,59990,87000,31% off,4.7,3,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
Lenovo,36990,56690,34% off,4.3,491,i3 Processor,Intel,,,256 GB,39.62 cm
acer,146990,189990,22% off,4.6,91,i9 Processor,Intel,,,1 TB,39.62 cm
ASUS,37490,46990,20% off,4.2,62,,AMD,,,256 GB,35.81 cm
Lenovo,27490,29290,6% off,4.0,1167,,AMD,,1 TB,,39.62 cm
Lenovo,78500,89490,12% off,4.4,145,,AMD,,,512 GB,39.62 cm
acer,34130,49999,31% off,3.6,135,,AMD,,1 TB,,39.62 cm
APPLE,162990,179900,9% off,4.2,107,i5 Processor,Intel,,,512 GB,33.78 cm
acer,59990,79999,25% off,5.0,3,,AMD,,,512 GB,39.62 cm
Vaio,57990,76090,23% off,3.8,173,,AMD,,,512 GB,39.62 cm
DELL,56400,80700,30% off,4.1,395,i5 Processor,Intel,,,512 GB,35.56 cm
DELL,28290,39874,29% off,4.1,487,,AMD,,,256 GB,35.56 cm
Lenovo,66990,93690,28% off,4.1,44,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,129990,164990,21% off,4.1,10,i7 Processor,Intel,,,1 TB,35.56 cm
HP,97500,138366,29% off,3.7,3,i5 Processor,Intel,,,512 GB,39.62 cm
MSI,64600,78990,18% off,4.2,100,i7 Processor,Intel,,,512 GB,35.56 cm
DELL,22990,24418,5% off,4.1,1299,,Intel,,500 GB,,39.62 cm
Lenovo,57990,78290,25% off,4.1,113,,AMD,,,512 GB,39.62 cm
ASUS,59990,79990,25% off,4.5,4,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
HP,59990,68192,12% off,4.1,1609,,AMD,,1 TB,,39.62 cm
ASUS,269990,326990,17% off,4.8,8,i9 Processor,Intel,,,1 TB,39.62 cm
HP,43990,55562,20% off,4.3,2854,i3 Processor,Intel,,,256 GB,35.56 cm
DELL,37990,51493,26% off,3.7,670,i3 Processor,Intel,,1 TB,,38.0 cm
DELL,62990,78014,19% off,4.3,333,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,67990,69812,2% off,4.3,190,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
DELL,43590,55534,21% off,3.8,65,i3 Processor,Intel,,,256 GB,39.62 cm
Infinix,49990,69999,28% off,3.6,98,i7 Processor,Intel,,,512 GB,35.56 cm
Nokia,52490,82990,36% off,4.0,765,i5 Processor,Intel,,,512 GB,35.56 cm
DELL,56990,75946,24% off,4.2,142,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
HP,118000,138399,14% off,5.0,3,i7 Processor,Intel,,,1 TB,40.89 cm
Lenovo,87990,125890,30% off,4.8,33,i5 Processor,Intel,,,512 GB,35.56 cm
DELL,46790,63200,25% off,4.2,68,i3 Processor,Intel,,,512 GB,39.62 cm
ASUS,86990,116990,25% off,3.8,31,i7 Processor,Intel,,,512 GB,35.56 cm
DELL,96890,113162,14% off,4.4,5,,AMD,,,512 GB,39.62 cm
HP,162990,192977,15% off,3.3,3,i7 Processor,Intel,,,512 GB,33.78 cm
MSI,134990,156990,14% off,4.0,3,i7 Processor,Intel,,,1 TB,39.62 cm
DELL,44990,56573,20% off,4.0,319,,AMD,,,256 GB,39.62 cm
Lenovo,77990,80366,2% off,4.3,34,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,30590,37190,17% off,3.9,6196,,AMD,,1 TB,,39.62 cm
DELL,79490,84900,6% off,3.6,17,i5 Processor,Intel,,,512 GB,35.56 cm
DELL,78190,89887,13% off,4.5,21,i5 Processor,Intel,,,1 TB,33.78 cm
MSI,149990,169990,11% off,4.1,10,i7 Processor,Intel,,,512 GB,39.62 cm
DELL,44900,56200,20% off,4.2,44,i3 Processor,Intel,,1 TB,256 GB,39.62 cm
Lenovo,33990,51890,34% off,4.1,1114,i3 Processor,Intel,,,256 GB,39.62 cm
HP,91890,99999,8% off,3.8,12,i7 Processor,Intel,,,512 GB,35.56 cm
DELL,74990,82300,8% off,4.4,45,i5 Processor,Intel,,,512 GB,35.56 cm
Vaio,52990,76090,30% off,3.8,173,,AMD,,,512 GB,39.62 cm
ASUS,50000,59999,16% off,4.2,98,i5 Processor,Intel,,,512 GB,39.62 cm
HP,50990,56663,10% off,4.3,568,,AMD,,,512 GB,39.62 cm
Lenovo,23890,40490,40% off,3.9,403,,Intel,,,256 GB,29.46 cm
HP,124999,157563,20% off,3.3,3,i7 Processor,Intel,,,1 TB,40.89 cm
Lenovo,64821,79090,18% off,3.3,4,i5 Processor,Intel,,2 TB,,39.62 cm
HP,74660,89780,16% off,4.1,27,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,75090,109990,31% off,4.4,909,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
ASUS,79190,94990,16% off,4.3,883,i7 Processor,Intel,,,512 GB,39.62 cm
Nokia,47990,82990,42% off,4.0,96,i5 Processor,Intel,,,512 GB,35.56 cm
acer,69351,87999,21% off,3.8,4,i5 Processor,Intel,,,512 GB,35.56 cm
DELL,57990,71149,18% off,3.9,8,i5 Processor,Intel,,,512 GB,39.62 cm
HP,144690,173453,16% off,4.2,17,i7 Processor,Intel,,,1 TB,39.62 cm
HP,81000,85000,4% off,4.2,22,i5 Processor,Intel,,,512 GB,35.56 cm
DELL,73890,82990,10% off,3.9,8,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,66499,93690,29% off,4.0,114,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,37890,48900,22% off,5.0,1,i3 Processor,Intel,,,256 GB,39.62 cm
ASUS,77898,106990,27% off,4.4,883,,AMD,,,512 GB,43.94 cm
HP,86100,100000,13% off,3.9,16,i7 Processor,Intel,,,512 GB,35.56 cm
ASUS,150963,188990,20% off,4.8,5,i7 Processor,Intel,,,1 TB,39.62 cm
Lenovo,35500,55190,35% off,4.0,1424,i3 Processor,Intel,,1 TB,,39.62 cm
ASUS,82152,98990,17% off,4.7,3,,AMD,,,512 GB,39.62 cm
DELL,45890,58567,21% off,4.3,406,i3 Processor,Intel,,1 TB,256 GB,39.62 cm
acer,68500,72999,6% off,4.4,42,i5 processor,Intel,,,512 GB,34.29 cm
HP,90000,103215,12% off,4.6,289,,AMD,,,512 GB,39.62 cm
ASUS,44490,56990,21% off,4.4,2807,i3 Processor,Intel,,,512 GB,35.56 cm
DELL,65990,82600,20% off,4.3,75,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
